publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p860298,,2016-11-14T07:27:17.448Z,2016-11-14T07:29:04.932Z,175.4564429,-40.72552563,1.79397448,5.46875,M,,NonLinLoc,,automatic,nz3drx,11,11,1,0.1132429391,197.2740786,0.983833488,0
2016p860297,,2016-11-14T07:26:45.328Z,2016-11-14T07:29:07.815Z,174.3495191,-41.72682625,3.417742011,9.21875,M,,NonLinLoc,,automatic,nz3drx,26,26,11,0.104228244,128.687952,1.961750649,0
2016p860288,,2016-11-14T07:21:51.861Z,2016-11-14T07:23:58.323Z,176.7860349,-38.43039115,4.462535233,66.875,M,,NonLinLoc,,automatic,nz3drx,10,10,8,0.5639638178,165.9014863,1.46663064,0
2016p860287,,2016-11-14T07:21:04.513Z,2016-11-14T07:25:16.960Z,174.3819029,-41.80117603,5.764381048,30.78125,M,,NonLinLoc,,automatic,nz3drx,155,155,117,0.1342730227,136.4950415,1.670284899,0
2016p860286,,2016-11-14T07:20:25.238Z,2016-11-14T07:23:28.952Z,174.2623631,-41.81435444,5.909755218,14.84375,M,,NonLinLoc,,automatic,nz3drx,71,71,55,0.07269877462,133.2511938,1.917053226,0
2016p860280,,2016-11-14T07:17:32.074Z,2016-11-14T07:20:58.827Z,174.0190331,-42.27438576,4.366915178,34.53125,M,,NonLinLoc,,automatic,nz3drx,34,34,25,0.3831402658,179.0055891,1.585127352,0
2016p860278,,2016-11-14T07:16:35.949Z,2016-11-14T07:20:07.874Z,173.4671281,-42.52533944,4.249646256,44.84375,M,,NonLinLoc,,automatic,nz3drx,66,66,49,0.1217742318,138.0498044,1.513883046,0
2016p860275,,2016-11-14T07:14:50.000Z,2016-11-14T07:17:01.279Z,177.3227677,-38.71681847,2.542646101,26.5625,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.2791648033,135.7710902,2.543055866,0
2016p860273,earthquake,2016-11-14T07:13:52.646Z,2016-11-14T07:27:09.618Z,173.7601335,-42.05743682,4.070073492,28.671875,M,,NonLinLoc,confirmed,manual,nz3drx,62,40,30,0.3523244687,130.7994221,0.7886431859,0
2016p860270,,2016-11-14T07:11:57.051Z,2016-11-14T07:14:08.711Z,175.7979075,-39.59035753,2.619308462,5.9375,M,,NonLinLoc,,automatic,nz3drx,13,13,9,0.434759573,263.1085702,1.328216976,0
2016p860268,,2016-11-14T07:11:15.180Z,2016-11-14T07:14:38.801Z,174.0398009,-41.73108316,3.806737946,10.15625,M,,NonLinLoc,,automatic,nz3drx,52,52,36,0.122925366,116.8872843,3.233294513,0
